schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,treatment,model,scenario,evaluation_pass,collection_fraction
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.10895729064941406,0.12193918228149404,0.33092498779296875,,,,,,,,,,102030,202030,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,246f5b5e36ad332d5c55b9faa46d31b396dfb2d4d859687f01210f32c4bad17e,2,196,2,197,2,1,0,0.12743473052978516,0.15432834625244113,0.5309581756591797,,,,,,,,,,102031,202031,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,246f5b5e36ad332d5c55b9faa46d31b396dfb2d4d859687f01210f32c4bad17e,2,196,2,197,2,1,0,0.1251697540283203,0.15497207641601562,0.8399486541748047,,,,,,,,,,102031,202031,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.21588802337646484,0.4219651222229004,0.4329681396484375,,,,,,,,,,102032,202032,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.06496906280517578,0.2300143241882323,0.4229545593261719,,,,,,,,,,102032,202032,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,15,15,0,0,9,0,2,2,1,2,15,0.13333333333333333,False,killed,2a9472c1dcb9e5102325251015fa5aede6603f6766c8a53a4fe753c2e82cfa75,2,1,5,1,3,3,0,0.06914138793945312,0.31962394714355463,0.370025634765625,,,,,,,,,,102033,202033,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,15,15,0,0,9,0,2,2,1,2,15,0.13333333333333333,False,killed,2a9472c1dcb9e5102325251015fa5aede6603f6766c8a53a4fe753c2e82cfa75,2,1,5,1,3,3,0,0.08225440979003906,0.28667449951171875,0.3046989440917969,,,,,,,,,,102033,202033,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,3,50,0,49,400,0.1225,True,step_limit,4d30634403bf4da55b0261e45523f2ff1d177b0d0aaee7e643a2c18511d2db09,50,49,50,51,101,99,0,0.05984306335449219,0.15618801116943334,0.5168914794921875,,,,,,,,,,102034,202034,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,3,50,0,49,400,0.1225,True,step_limit,4d30634403bf4da55b0261e45523f2ff1d177b0d0aaee7e643a2c18511d2db09,50,49,50,51,101,99,0,0.05841255187988281,0.11992454528808594,0.6630420684814453,,,,,,,,,,102034,202034,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,1,400,0.0025,True,step_limit,dacdc79a370e4f121d4f3837a4eeb8c96954e3e26579d7edb60c1abb66b675f8,1,197,2,196,3,1,0,0.10800361633300781,0.12305974960327146,0.7359981536865234,,,,,,,,,,102035,202035,unmasked,r1,classic,primary,0.0
