replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r5,classic,186308,286308,0.1111111111111111,0,0,1,29,0.26702880859375,0.5362033843994141,5538ccd81b26cb7445e305e11f63a489a14623352c3e554dd16993cf4014509f,True
r5,classic,186309,286309,0.1111111111111111,0,0,1,3,0.3151059150695799,0.5331039428710938,81d69cc84ff58143598b07ab79168649f728bff47cb701e2daec6f8e58581208,True
r5,classic,186310,286310,0.6666666666666666,0,0,6,4,0.3149986267089843,0.5769729614257812,dc2c04941a771198a7a287ccacfd7031ba304d3c6a426e2b6d69512446dd991d,True
r5,classic,186311,286311,0.0,0,0,0,0,0.4130840301513671,0.6101131439208984,2f2caa2894026ad3173dde84e856cd9d6bca920de0e7591163ac70f72f8d42de,True
r5,classic,186312,286312,0.0,0,0,0,34,0.33813714981079096,0.7009506225585938,e719da981c9a152e5483d2de0cf146a61b903a386865fca98b59cc43d2000b4d,True
r5,classic,186313,286313,0.3333333333333333,0,0,3,6,0.7409811019897459,26.43132209777832,1dc84354ed4849ea6efa44a5554c58e00c17ea51f0f2635a310be07bda1b3f69,True
r5,classic,186314,286314,0.1111111111111111,0,0,1,3,0.30590295791625977,0.598907470703125,6db8ed09417ea888cc9810bf3e449ee96a44f080c2bbad9acd7eec5ac60c0eaf,True
r5,classic,186315,286315,0.0,0,0,0,0,0.3380775451660156,0.7371902465820312,5408a90948526c286a06374f07583ee12aefef1cca428b85c3069cfa576d9366,True
r5,classic,186316,286316,0.2222222222222222,0,0,2,0,0.35190582275390625,0.8709430694580078,a130b60f3d0bf9c37b81011bbe51fddd386095c31f2638f84e6e29cf2207cb7c,True
r5,classic,186317,286317,0.2222222222222222,0,0,2,2,0.6214976310729975,0.988006591796875,2b4ec8fefb9a364948a7ce473761eb8d1d947d40e0ebd1cc9f99f35c3b358d5c,True
r5,classic,186318,286318,0.0,0,0,0,0,0.24822950363159177,0.5502700805664062,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb,True
r5,classic,186319,286319,0.0,0,0,0,3,0.28048753738403287,0.6318092346191406,076c0e7a146ee149027368b6c8d9a38af282fb66062174c18aef8a8da50e1fcc,True
r5,classic,186320,286320,0.6666666666666666,0,0,6,10,0.37224292755126925,0.7009506225585938,a003b73c54ae537a5b8763e65ae0d4f5db630912177f2d1e85e7ec7f6b2bff0b,True
r5,coin-heaven,186401,286401,1.0,0,0,50,0,0.6331443786621089,0.8897781372070312,36eefbba6b8765e8d6ea3b2b3f2eddd67f04ac4d5913ff1497690d3185a7ef44,True
r5,coin-heaven,186402,286402,1.0,0,0,50,0,0.8474826812744137,1.2328624725341797,448b852286ded453935eebd4118e95888c2a22385432c94765aaa1d0696486c1,True
r5,coin-heaven,186403,286403,1.0,0,0,50,0,0.7573604583740225,1.2259483337402344,c3d3ccb0f9b75f45d65d4d9f812085f89bdfcdd6eb7bbe77f4d69045014f9407,True
r5,coin-heaven,186404,286404,1.0,0,0,50,0,0.9303569793701167,3.390073776245117,4a135740b376e06af3858b4900412f6724aaa134081d133330ab071b4d9e2659,True
r5,coin-heaven,186405,286405,1.0,0,0,50,0,0.5415678024291992,0.8990764617919922,5ff0cae918eacb920420ed839d9660348022e79de19d03fa075a1cb62f156ba8,True
r5,coin-heaven,186406,286406,1.0,0,0,50,0,0.6707906723022461,0.7729530334472656,c62ca0db1c14d4db7ca034c9193f32f8a3fb59a0d8a53b67fe4e88ee4be44e39,True
r5,coin-heaven,186407,286407,1.0,0,0,50,0,0.4690766334533691,0.7758140563964844,b29cf7bf3c439ad6310341b9e51190f912c9d418bd436ee7695d002711bed838,True
r5,coin-heaven,186408,286408,1.0,0,0,50,0,0.7851123809814449,1.1420249938964844,ee1e1ee822683af4e23c5de6c48c141a6e6e6949045ed56f6ad95979fd329b38,True
r5,coin-heaven,186409,286409,1.0,0,0,50,0,0.6393074989318848,0.8089542388916016,ca14f5cec9fe0f9341d25700033e56a568f72c1579fae94d7cac3a70e6a4a27e,True
r5,coin-heaven,186410,286410,1.0,0,0,50,0,0.8260726928710938,1.1410713195800781,85824d31540ee8f61a22bc70a35f209acaa0bd31d416164fc2022d24747abdde,True
