schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,total_state_visits,evaluation_decisions,evaluation_unseen_decisions,mean_visits_per_state,singleton_state_fraction,evaluation_unseen_state_rate,cell,model,scenario,world_seed,agent_seed,suite,collection_fraction
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,1,14,5,,0,6,400,0.015,True,step_limit,90739b9eace5d547a8c6d29f2509eb07971fbeff3147717932d4a3fd1aa6f13d,4,189,4,187,7,9,0,1.5976428985595703,1.9854664802551258,3.2415390014648438,,,,,,,,,,,,,,,,A,r1,classic,324003,424003,classic-repeat,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,4,2,,0,0,400,0.0,True,step_limit,ea67472f9737dcd552fe9b5278fc4e51d82f56ce4410998c97c2ec2539421786,2,195,2,194,5,2,0,1.0395050048828125,1.3205051422119136,1.7087459564208984,,,,,,,,,,,,,,,,A,r1,classic,324004,424004,classic-repeat,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,6,83,37,,0,12,400,0.03,True,step_limit,4fe4f52c85aad8d195431a40f3e75733b414f4e14d71839397c584e30e138095,58,64,47,53,135,43,0,2.2045373916625977,5.580437183380127,10.046958923339844,,,,,,,,,,,,,,,,A,r1,classic,324005,424005,classic-repeat,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,379,379,6,6,9,6,100,49,,1,15,379,0.0395778364116095,False,killed,112a7f9bc6978099c0f6330c6e92220e17d5d87e972a9f355235a5455bcf900a,73,75,64,56,58,53,0,1.5299320220947266,3.987288475036619,5.188941955566406,,,,,,,,,,,,,,,,A,r1,classic,324006,424006,classic-repeat,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,36,19,,0,7,400,0.0175,True,step_limit,8e2c2acd38268d3490ec72e1126309f710cb5d94ec270c30a46510485057da3b,27,20,29,24,278,22,0,3.788471221923828,4.461193084716797,6.557226181030273,,,,,,,,,,,,,,,,A,r1,classic,324007,424007,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,2,5,3,,0,2,400,0.005,True,step_limit,7cc90c96798c08fd94b37d4022822be4f49e98345a7e0f2b01a1cbf6048a71aa,7,191,6,189,3,4,0,1.0471343994140625,1.3783454895019531,2.712726593017578,,,,,,,,,,,,,,,,A,r1,classic,324008,424008,classic-repeat,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,70,70,2,2,9,4,28,10,,1,2,70,0.02857142857142857,False,killed,b5409f738345a82d80abcd700d12dfd5be3d426d998d4e54994c3f714e9a69d8,5,10,15,12,17,11,0,0.7451772689819336,2.055978775024414,2.724885940551758,,,,,,,,,,,,,,,,A,r1,classic,324009,424009,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,203,203,5,5,9,5,54,25,,1,14,203,0.06896551724137931,False,killed,9bcf0aefa1da2d145f8c280658831818a3fd000f7997c1bf9c54d3c5a9e10321,38,43,43,27,23,29,0,1.497030258178711,3.6364078521728502,7.274627685546875,,,,,,,,,,,,,,,,A,r1,classic,324010,424010,classic-repeat,0.5555555555555556
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,21,10,,0,5,400,0.0125,True,step_limit,21c6c9627927ef35ea2f5bd2484ddddb921af8aeca311c23039543bb43f86583,10,171,10,175,20,14,0,2.174496650695801,2.745068073272705,5.01251220703125,,,,,,,,,,,,,,,,A,r1,classic,324011,424011,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,11,5,,0,0,400,0.0,True,step_limit,e56bd8b685f0f4e98851283714a8121a0fb0e8a1f964920d2bebe04a3c902a32,6,185,6,186,12,5,0,1.839756965637207,2.304148674011229,4.166603088378906,,,,,,,,,,,,,,,,A,r1,classic,324012,424012,classic-repeat,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,3,18,6,,0,3,400,0.0075,True,step_limit,2ba4bb0ebc30a9fb71a2274e91660225ec431b54deb68e609fac11b5fb8a663e,9,11,9,5,360,6,0,1.5770196914672852,2.0245075225830074,5.135536193847656,,,,,,,,,,,,,,,,A,r1,classic,324013,424013,classic-repeat,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,7,7,9,7,62,28,,0,13,400,0.0325,True,step_limit,77022ed64423adce03864911ca4db2a7f5f4a71f359b2b543558bd6946a1b2a6,34,126,36,135,31,38,0,2.5342702865600586,4.834163188934325,9.124040603637695,,,,,,,,,,,,,,,,A,r1,classic,324014,424014,classic-repeat,0.7777777777777778
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,3,29,15,,0,6,400,0.015,True,step_limit,e5550bf9358d81fa40272e9656fe38daa0076b6f7f2a78b26ea31decb7c6aa28,22,25,22,18,296,17,0,1.6058683395385742,2.0750284194946285,5.864381790161133,,,,,,,,,,,,,,,,A,r1,classic,324015,424015,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,6,102,53,,0,16,400,0.04,True,step_limit,d9b4ad9a983585282231637e147ca50e1f4d44f6a2a447044ac40d02ca503936,83,72,70,65,46,64,0,1.8466711044311523,4.654729366302489,6.108283996582031,,,,,,,,,,,,,,,,A,r1,classic,324016,424016,classic-repeat,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,5,2,,0,1,400,0.0025,True,step_limit,6189ed76ed510728c995e30abad1413e7917327851c6de9b2bf452b54830c1b1,1,195,3,194,5,2,0,1.2829303741455078,1.5853285789489737,5.838155746459961,,,,,,,,,,,,,,,,A,r1,classic,324017,424017,classic-repeat,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,60,26,,0,4,400,0.01,True,step_limit,11c6e1774103e82ef19698b0c860f46401e7f4888de9962d367bbbb0f49586ff,38,25,46,33,230,28,0,3.973722457885742,4.948389530181885,8.165597915649414,,,,,,,,,,,,,,,,A,r1,classic,324018,424018,classic-repeat,0.4444444444444444
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,3,55,36,,0,8,400,0.02,True,step_limit,5440cc63dd5a1cfce252a40b7237519972145af825a7ca28da9be52abcfb37f0,55,113,52,98,41,41,0,2.2156238555908203,3.593063354492183,7.389068603515625,,,,,,,,,,,,,,,,A,r1,classic,324019,424019,classic-repeat,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,90,90,0,0,9,0,23,12,,1,7,90,0.07777777777777778,False,killed,f043d3c574cd935550c1956fc03b878ccdfe83429bf29010efc2a8f698787327,14,19,15,11,16,15,0,1.059889793395996,2.5929331779479976,7.195234298706055,,,,,,,,,,,,,,,,A,r1,classic,324020,424020,classic-repeat,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,24,10,,0,4,400,0.01,True,step_limit,1c99b0233c1e135f70f0ea0ba3c66bebde72135000b21c83d3161c9dde4a4668,18,11,15,12,332,12,0,3.085970878601074,3.716003894805908,7.597684860229492,,,,,,,,,,,,,,,,A,r1,classic,324021,424021,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,15,5,,0,2,400,0.005,True,step_limit,0eab557562cc42d9ddd3686e110e5bcbcef02c6ff2fd56b095c0e897e9b41f4d,5,187,8,188,6,6,0,2.0558834075927734,2.4913072586059566,3.1919479370117188,,,,,,,,,,,,,,,,A,r1,classic,324022,424022,classic-repeat,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,169,169,3,3,9,4,43,22,,1,6,169,0.03550295857988166,False,killed,d3da86f02fd125f0d08558da72d690ba14eda82e9cafbdd43e36b4f3828a6dd8,31,35,32,27,20,24,0,1.59454345703125,3.553152084350586,5.067110061645508,,,,,,,,,,,,,,,,A,r1,classic,324023,424023,classic-repeat,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,7,93,38,,0,22,400,0.055,True,step_limit,fa83ca4b55f22b710e020e19ac87d55e70793ca71fa4bd6b68ef806a12b1cb92,56,55,46,45,150,48,0,2.0912885665893555,5.620300769805907,7.646322250366211,,,,,,,,,,,,,,,,A,r1,classic,324024,424024,classic-repeat,0.6666666666666666
