treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r5,coincollector,220214,320214,0.4444444444444444,0,0,4,19,0.6106138229370113,1.1022090911865234,f6c136e753a8de056d7ef3e30fb2a6ee718c528b523e196c182772ed15c8bca5,False
control,r5,coincollector,220215,320215,0.2222222222222222,1,0,7,0,0.27900934219360346,0.4627704620361328,9e1cdde1550b37e9c799ebc61608393aa667121919b2851ab9e0705e5adcbb2d,False
control,r5,coincollector,220216,320216,0.4444444444444444,0,0,4,9,0.6012558937072752,0.7407665252685547,472835c10adf1dc2f851968588c021accd3246d9aca99fc9367cc52c84c3b5ae,False
control,r5,coincollector,220217,320217,0.2222222222222222,0,1,2,2,0.2034902572631836,0.5061626434326172,09e15fffee2c5c6ac2a14fec5e97529a9949c84e22d0705955cf07f741d5640f,False
control,r5,coincollector,220218,320218,0.1111111111111111,0,0,1,12,0.5571961402893068,0.965118408203125,908cd628c4e5cad1e1864f4efd78356e9144b6a27713375531bdbf5a26463d85,False
control,r5,coincollector,220219,320219,0.2222222222222222,0,0,2,7,0.3515601158142089,0.6799697875976562,0c22a1aed0b81b5cec43ac4dfe874bd5c60601a017d65867c59dbc7334b99cf2,False
control,r5,coincollector,220220,320220,0.2222222222222222,1,0,7,4,0.1900196075439453,0.48804283142089844,143add56bc436e28caa6c70a906d9a4e042816344fcab618a22e6ae62f4af05f,False
control,r5,classic,220301,320301,0.2222222222222222,0,0,2,24,0.6062269210815426,1.2280941009521484,a0a27dad55a99abefd248eba553478aa2d055d6373b9f59f500df58ef720009e,True
control,r5,classic,220302,320302,0.4444444444444444,0,0,4,4,0.575804710388182,1.2972354888916016,437216fa99036f97b11cefccd4ef270c46f359c4421197c6ab9bde095a5e7428,True
control,r5,classic,220303,320303,0.1111111111111111,0,0,1,1,0.5657553672790521,3.3180713653564453,ed5e9a90a87ebe2459e7e2689693848ab1a0710e2d13efff79ba601969071653,True
control,r5,classic,220304,320304,0.0,0,0,0,0,0.5730152130126943,1.1589527130126953,7a74792bbf3ff7e48b1348075d73725bfa3d7d90768f17a54d12ddb4e13a8a28,True
control,r5,classic,220305,320305,0.8888888888888888,0,0,8,4,0.24133920669555636,0.5860328674316406,27fbc62e074ae19e799e5e99954d8963ffa998371b71d121694f199514690470,True
control,r5,classic,220306,320306,0.1111111111111111,0,0,1,0,0.14711618423461914,0.4661083221435547,ef5c4efd1e63db0cedd48782190567bac3e10a7ba85069962f418d1a9bc82ebf,True
control,r5,classic,220307,320307,0.2222222222222222,0,0,2,1,0.14091730117797852,0.3063678741455078,8124391d93f43b7b727b1a61d76c09e40194414135bd749c167cf9dfd073c436,True
control,r5,classic,220308,320308,0.2222222222222222,0,0,2,2,0.2357840538024896,0.8039474487304688,e2a92d986543a8b25ee481710e8ebc974885fbfcd45d8878a11555558b110f97,True
control,r5,classic,220309,320309,0.1111111111111111,0,0,1,2,0.1309037208557129,0.2529621124267578,8a125c356dbf064629e3505b8818090b51d500335f906c8d1bbb8363736d8ee6,True
control,r5,classic,220310,320310,0.1111111111111111,0,0,1,2,0.1239776611328125,0.2620220184326172,c69783134b2425b606a97f019cdb60fc7289ac8ec3e8f006ba03ffa38c68fcf1,True
