stage,job,world_seed,agent_seed,repeat,behavior_epsilon,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
training,control-r3,1931303004,3931303,,0.0,11,1,0.6666666666666666,6,95,1,1,400,0,0,53
training,control-r3,1931303005,3931303,,1.0,0,0,0.0,0,0,0,0,6,1,0,1
training,control-r3,1931303006,3931303,,0.0,0,0,0.0,0,4,0,0,32,1,0,2
training,control-r3,1931303007,3931303,,0.0,4,1,0.4444444444444444,4,92,0,1,400,0,0,53
training,control-r3,1931303008,3931303,,0.0,0,0,0.0,0,55,0,1,400,0,0,57
training,control-r3,1931303009,3931303,,0.0,3,1,0.3333333333333333,3,40,0,1,400,0,0,47
training,control-r3,1931303010,3931303,,1.0,0,0,0.0,0,5,0,0,9,1,0,1
training,control-r3,1931303011,3931303,,0.0,13,1,0.8888888888888888,8,84,1,1,400,0,0,50
training,control-r3,1931303012,3931303,,0.0,1,1,0.1111111111111111,1,46,0,1,400,0,0,36
training,control-r3,1931303013,3931303,,0.0,2,1,0.2222222222222222,2,76,0,1,400,0,0,33
training,control-r3,1931303014,3931303,,1.0,0,0,0.0,0,1,0,0,8,1,0,1
training,control-r3,1931303015,3931303,,0.0,8,1,0.8888888888888888,8,92,0,1,400,0,0,40
training,control-r3,1931303016,3931303,,0.0,4,1,0.4444444444444444,4,92,0,1,400,0,0,52
training,control-r3,1931303017,3931303,,0.0,2,1,0.2222222222222222,2,40,0,0,344,1,0,18
training,control-r3,1931303018,3931303,,0.0,12,1,0.7777777777777778,7,100,1,1,400,0,0,54
training,control-r3,1931303019,3931303,,1.0,0,0,0.0,0,1,0,0,5,1,0,1
training,control-r3,1931303020,3931303,,0.0,5,1,0.5555555555555556,5,76,0,1,400,0,0,47
training,control-r3,1931303021,3931303,,0.0,13,1,0.8888888888888888,8,111,1,1,400,0,0,50
training,control-r3,1931303022,3931303,,0.0,1,1,0.1111111111111111,1,11,0,1,400,0,0,5
training,control-r3,1931303023,3931303,,0.0,2,1,0.2222222222222222,2,26,0,1,400,0,0,55
training,control-r3,1931303024,3931303,,0.0,12,1,0.7777777777777778,7,105,1,1,400,0,0,50
training,control-r3,1931303025,3931303,,1.0,0,0,0.0,0,3,0,0,5,1,0,1
training,control-r3,1931303026,3931303,,0.0,7,1,0.2222222222222222,2,62,1,1,400,0,0,43
training,control-r3,1931303027,3931303,,1.0,0,0,0.0,0,2,0,0,9,1,0,1
training,control-r3,1931303028,3931303,,0.0,3,1,0.3333333333333333,3,60,0,0,181,1,0,25
training,control-r3,1931303029,3931303,,0.0,12,1,0.7777777777777778,7,77,1,1,400,0,0,35
training,control-r3,1931303030,3931303,,0.0,5,1,0.5555555555555556,5,88,0,1,400,0,0,48
training,control-r3,1931303031,3931303,,0.0,1,1,0.1111111111111111,1,21,0,0,66,1,0,9
training,control-r3,1931303032,3931303,,0.0,4,1,0.4444444444444444,4,73,0,1,400,0,0,35
training,control-r3,1931303033,3931303,,0.0,6,1,0.6666666666666666,6,73,0,1,400,0,0,37
training,control-r3,1931303034,3931303,,1.0,0,0,0.0,0,4,0,0,14,1,0,2
training,control-r3,1931303035,3931303,,0.0,5,1,0.5555555555555556,5,57,0,1,400,0,0,22
training,control-r3,1931303036,3931303,,0.0,0,0,0.0,0,8,0,0,20,1,0,3
training,control-r3,1931303037,3931303,,0.0,2,1,0.2222222222222222,2,28,0,1,400,0,0,13
training,control-r3,1931303038,3931303,,0.0,10,1,0.5555555555555556,5,88,1,1,400,0,0,45
training,control-r3,1931303039,3931303,,1.0,0,0,0.0,0,4,0,0,10,1,0,1
training,control-r3,1931303040,3931303,,0.0,9,1,1.0,9,111,0,1,400,0,0,50
training,control-r3,1931303041,3931303,,1.0,0,0,0.0,0,2,0,0,12,1,0,1
training,control-r3,1931303042,3931303,,0.0,2,1,0.2222222222222222,2,25,0,1,400,0,0,11
training,control-r3,1931303043,3931303,,0.0,1,1,0.1111111111111111,1,18,0,1,400,0,0,6
training,control-r3,1931303044,3931303,,0.0,7,1,0.2222222222222222,2,71,1,1,400,0,0,41
training,control-r3,1931303045,3931303,,0.0,0,0,0.0,0,6,0,0,13,1,0,2
training,control-r3,1931303046,3931303,,0.0,11,1,0.6666666666666666,6,78,1,1,400,0,0,27
training,control-r3,1931303047,3931303,,0.0,6,1,0.6666666666666666,6,86,0,1,400,0,0,32
training,control-r3,1931303048,3931303,,0.0,0,0,0.0,0,22,0,0,44,1,0,6
training,control-r3,1931303049,3931303,,0.0,11,1,0.6666666666666666,6,91,1,1,400,0,0,47
training,control-r3,1931303050,3931303,,1.0,0,0,0.0,0,4,0,0,5,1,0,1
training,treatment-r3,1931303001,3931303,,0.0,8,1,0.3333333333333333,3,57,1,1,400,0,0,55
training,treatment-r3,1931303002,3931303,,0.0,7,1,0.7777777777777778,7,67,0,1,400,0,0,52
training,treatment-r3,1931303003,3931303,,0.0,6,1,0.6666666666666666,6,73,0,1,400,0,0,52
training,treatment-r3,1931303004,3931303,,0.0,1,1,0.1111111111111111,1,61,0,1,400,0,0,33
training,treatment-r3,1931303005,3931303,,1.0,0,0,0.0,0,3,0,0,6,1,0,1
training,treatment-r3,1931303006,3931303,,0.0,13,1,0.8888888888888888,8,79,1,1,400,0,0,55
training,treatment-r3,1931303007,3931303,,0.0,7,1,0.2222222222222222,2,47,1,1,400,0,0,44
training,treatment-r3,1931303008,3931303,,0.0,5,1,0.0,0,76,1,1,400,0,0,53
training,treatment-r3,1931303009,3931303,,0.0,1,1,0.1111111111111111,1,16,0,0,53,1,0,7
training,treatment-r3,1931303010,3931303,,1.0,0,0,0.0,0,3,0,0,7,1,0,1
training,treatment-r3,1931303011,3931303,,0.0,0,0,0.0,0,2,0,0,7,1,0,1
training,treatment-r3,1931303012,3931303,,0.0,5,1,0.5555555555555556,5,80,0,1,400,0,0,54
training,treatment-r3,1931303013,3931303,,0.0,11,1,0.6666666666666666,6,68,1,1,400,0,0,48
training,treatment-r3,1931303014,3931303,,1.0,0,0,0.0,0,2,0,0,7,1,0,1
training,treatment-r3,1931303015,3931303,,0.0,6,1,0.6666666666666666,6,96,0,1,400,0,0,52
training,treatment-r3,1931303016,3931303,,0.0,3,1,0.3333333333333333,3,51,0,0,143,1,0,18
training,treatment-r3,1931303017,3931303,,0.0,2,1,0.2222222222222222,2,40,0,1,400,0,0,50
training,treatment-r3,1931303018,3931303,,0.0,3,1,0.3333333333333333,3,65,0,1,400,0,0,50
training,treatment-r3,1931303019,3931303,,1.0,0,0,0.0,0,1,0,0,5,1,0,1
training,treatment-r3,1931303020,3931303,,0.0,4,1,0.4444444444444444,4,48,0,1,400,0,0,29
training,treatment-r3,1931303021,3931303,,0.0,3,1,0.3333333333333333,3,31,0,0,86,1,0,11
