model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-02,primary,31003,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.271350499999244,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,29,30,43,30,1,0,0,0.2155303955078125,0.46629905700683594,1.1453628540039062,,,,,,,,,
run-02,primary,31004,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.323657299988554,1,1,DagobertDuckDQN,evaluation,129,129,50,50,1,129,0.007751937984496124,True,survived,27,33,25,44,0,0,0,0.2186298370361328,0.49114227294921864,1.2631416320800781,,,,,,,,,
run-02,primary,31005,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.08342249999987,1,1,DagobertDuckDQN,evaluation,128,128,50,50,0,128,0.0,True,survived,30,34,20,44,0,0,0,0.21767616271972656,0.45002698898315363,1.1849403381347656,,,,,,,,,
run-02,primary,31006,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.192192400005297,1,1,DagobertDuckDQN,evaluation,126,126,50,50,0,126,0.0,True,survived,30,26,30,40,0,0,0,0.2313852310180664,0.44673681259155273,1.8208026885986328,,,,,,,,,
run-02,primary,31007,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.5388386999984505,1,1,DagobertDuckDQN,evaluation,117,117,50,50,0,117,0.0,True,survived,33,35,28,21,0,0,0,0.2627372741699219,0.45351982116699197,1.102447509765625,,,,,,,,,
run-02,primary,31008,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.681040299998131,1,1,DagobertDuckDQN,evaluation,127,127,50,50,0,127,0.0,True,survived,32,32,40,23,0,0,0,0.21648406982421875,0.4081726074218749,1.2450218200683594,,,,,,,,,
run-02,primary,31009,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.722969600014039,1,1,DagobertDuckDQN,evaluation,122,122,50,50,0,122,0.0,True,survived,27,34,35,26,0,0,0,0.27942657470703125,0.5657315254211426,1.201629638671875,,,,,,,,,
run-02,primary,31010,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.764232700006687,1,1,DagobertDuckDQN,evaluation,140,140,50,50,1,140,0.007142857142857143,True,survived,34,34,34,38,0,0,0,0.2415180206298828,0.5929708480834955,1.0733604431152344,,,,,,,,,
run-02,primary,31011,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.886921700002858,1,1,DagobertDuckDQN,evaluation,133,133,50,50,1,133,0.007518796992481203,True,survived,22,31,36,44,0,0,0,0.2200603485107422,0.4792690277099601,0.9753704071044922,,,,,,,,,
run-02,primary,31012,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.211244699996314,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,33,38,44,24,0,0,0,0.23484230041503906,0.5132198333740234,1.3072490692138672,,,,,,,,,
